Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,36.119999,36.860001,36.000000,36.660000,35.686096,2154200
2020-07-23,36.529999,37.200001,36.459999,36.990002,36.007332,2537300
2020-07-24,37.139999,37.340000,36.689999,36.770000,35.793175,2226400
2020-07-27,36.580002,36.680000,36.029999,36.430000,35.462208,3311000
2020-07-28,36.279999,36.599998,36.090000,36.290001,35.325924,3863800
2020-07-29,36.340000,36.619999,35.689999,36.500000,35.530346,3904800
2020-07-30,35.619999,35.759998,34.959999,35.290001,34.352493,4575900
2020-07-31,35.139999,35.650002,35.029999,35.570000,34.625053,4404200
2020-08-03,35.580002,35.799999,35.240002,35.360001,34.420631,2937700
2020-08-04,35.250000,35.570000,35.020000,35.060001,34.128601,4122000
2020-08-05,35.299999,36.119999,35.259998,35.549999,34.605587,2700900
2020-08-06,35.290001,35.900002,35.169998,35.410000,34.469307,3285700
2020-08-07,35.150002,36.570000,35.119999,36.520000,35.549816,2963000
2020-08-10,36.680000,37.650002,36.669998,37.470001,36.474579,3102300
2020-08-11,38.259998,38.759998,37.889999,38.029999,37.019699,3963200
2020-08-12,38.939999,38.939999,37.340000,37.619999,36.620594,3217400
2020-08-13,37.110001,37.750000,36.950001,37.750000,36.747143,3123000
2020-08-14,37.480000,38.240002,37.369999,38.070000,37.058640,2660900
2020-08-17,37.930000,38.189999,37.310001,37.459999,36.464844,2497400
2020-08-18,37.369999,37.709999,37.070000,37.139999,36.425613,2195000
2020-08-19,36.990002,37.400002,36.849998,37.029999,36.317730,2497400
2020-08-20,36.450001,36.950001,36.410000,36.660000,35.954849,2409800
2020-08-21,36.750000,36.970001,36.340000,36.419998,35.719463,2928400
2020-08-24,36.590000,37.419998,36.419998,37.380001,36.661003,2709300
2020-08-25,37.779999,37.900002,36.919998,37.099998,36.386383,2826300
2020-08-26,36.840000,36.860001,36.389999,36.450001,35.748886,2802700
2020-08-27,36.459999,37.299999,36.369999,36.880001,36.170620,2778900
2020-08-28,37.220001,37.230000,36.680000,37.130001,36.415810,3101600
2020-08-31,37.200001,37.200001,36.270000,36.320000,35.621387,3362200
2020-09-01,36.000000,37.119999,35.900002,36.700001,35.994080,3889300
2020-09-02,36.639999,37.459999,36.500000,36.900002,36.190235,3197800
2020-09-03,37.380001,38.290001,36.650002,36.939999,36.229458,5241200
2020-09-04,37.630001,38.070000,36.849998,37.860001,37.131767,5104300
2020-09-08,37.889999,38.000000,36.810001,36.939999,36.229458,5122100
2020-09-09,37.250000,37.549999,36.980000,37.040001,36.327541,3473800
2020-09-10,37.139999,37.549999,36.169998,36.209999,35.513500,3335900
2020-09-11,36.279999,36.799999,36.020000,36.389999,35.690041,3067000
2020-09-14,36.990002,37.470001,36.599998,37.070000,36.356960,3441400
2020-09-15,37.119999,37.240002,36.509998,36.689999,35.984268,3220600
2020-09-16,36.759998,37.740002,36.610001,37.209999,36.494267,3813000
2020-09-17,36.959999,37.639999,36.590000,37.619999,36.896381,3793300
2020-09-18,37.490002,38.400002,37.410000,37.799999,37.072918,17653100
2020-09-21,37.080002,37.400002,35.930000,36.410000,35.709656,5030700
2020-09-22,36.270000,36.919998,35.970001,36.369999,35.670422,3618100
2020-09-23,36.500000,36.959999,35.599998,35.619999,34.934853,3137600
2020-09-24,35.750000,36.220001,34.919998,35.669998,34.983891,2932700
2020-09-25,35.200001,35.950001,35.180000,35.730000,35.042736,2924000
2020-09-28,36.360001,36.950001,36.250000,36.330002,35.631199,3502200
2020-09-29,36.099998,36.340000,35.599998,36.020000,35.327160,2908100
2020-09-30,36.250000,36.820000,36.040001,36.349998,35.650810,3922300
2020-10-01,36.380001,36.700001,35.939999,36.389999,35.690041,2482900
2020-10-02,35.990002,37.150002,35.689999,36.880001,36.170620,2973800
2020-10-05,37.330002,37.740002,37.139999,37.430000,36.710037,3317300
2020-10-06,37.830002,38.470001,37.220001,37.369999,36.651192,4076900
2020-10-07,37.730000,38.400002,37.590000,37.910000,37.180805,3448400
2020-10-08,38.209999,38.599998,37.930000,38.240002,37.504459,2320000
2020-10-09,38.490002,38.549999,37.939999,38.099998,37.367149,2539600
2020-10-12,38.139999,38.720001,38.060001,38.400002,37.661381,2163800
2020-10-13,38.270000,38.310001,37.090000,37.209999,36.494267,2579300
2020-10-14,37.200001,37.709999,36.959999,36.980000,36.268692,2626000
2020-10-15,36.610001,37.389999,36.400002,37.250000,36.533497,2443800
2020-10-16,37.410000,37.740002,36.990002,37.209999,36.494267,2630900
2020-10-19,37.299999,37.480000,36.430000,36.480000,35.778309,3208400
2020-10-20,36.930000,37.250000,36.709999,36.910000,36.200039,3219300
2020-10-21,36.740002,37.020000,36.560001,36.650002,35.945042,2760300
2020-10-22,36.669998,37.529999,36.310001,37.509998,36.788494,2311900
