Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,47.930000,48.520000,47.029999,48.480000,46.968781,29831200
2020-07-23,48.470001,48.570000,48.029999,48.279999,46.775013,15935000
2020-07-24,48.400002,48.799999,48.070000,48.490002,46.978466,16196800
2020-07-27,48.180000,48.509998,48.180000,48.480000,46.968781,17346500
2020-07-28,48.340000,49.279999,48.099998,48.180000,46.678131,13872700
2020-07-29,48.139999,48.500000,47.820000,48.020000,46.523117,13758100
2020-07-30,47.669998,48.230000,47.200001,47.689999,46.203403,17276500
2020-07-31,47.439999,47.770000,46.730000,47.240002,45.767437,14849200
2020-08-03,47.139999,47.360001,46.230000,46.299999,44.856731,14137500
2020-08-04,46.290001,46.860001,46.220001,46.689999,45.234573,11717200
2020-08-05,46.900002,47.270000,46.810001,47.220001,45.748058,10498700
2020-08-06,46.660000,47.529999,46.599998,47.480000,45.999950,10745000
2020-08-07,47.470001,48.080002,47.209999,47.799999,46.309978,11669700
2020-08-10,48.060001,48.279999,47.660000,47.720001,46.232475,11888000
2020-08-11,48.459999,48.650002,47.700001,47.930000,46.435925,16531600
2020-08-12,48.299999,48.689999,48.119999,48.430000,46.920338,9562200
2020-08-13,48.259998,48.730000,48.060001,48.380001,46.871899,9882900
2020-08-14,48.340000,48.689999,48.029999,48.450001,46.939716,10075800
2020-08-17,48.320000,48.750000,48.200001,48.209999,46.707195,9102400
2020-08-18,48.200001,48.500000,47.959999,48.419998,46.910648,9829000
2020-08-19,48.119999,48.380001,47.220001,47.369999,45.893383,17371000
2020-08-20,47.270000,47.599998,47.090000,47.349998,45.874001,11308700
2020-08-21,47.340000,47.500000,46.970001,47.279999,45.806187,14734100
2020-08-24,47.430000,47.980000,47.180000,47.970001,46.474682,9257700
2020-08-25,48.000000,48.049999,47.650002,47.910000,46.416546,7827800
2020-08-26,47.759998,48.180000,47.470001,48.160000,46.658756,10124200
2020-08-27,48.250000,48.820000,48.200001,48.230000,46.726570,10931600
2020-08-28,48.750000,49.849998,48.529999,49.830002,48.276699,16420300
2020-08-31,49.799999,50.070000,49.349998,49.529999,47.986050,18510800
2020-09-01,49.310001,49.349998,48.830002,49.119999,47.588829,12588400
2020-09-02,49.360001,51.360001,49.360001,51.189999,49.594303,26332600
2020-09-03,51.400002,52.139999,50.099998,50.480000,48.906433,22289400
2020-09-04,50.939999,51.470001,50.279999,51.040001,49.448982,21019500
2020-09-08,50.930000,51.040001,49.360001,49.810001,48.257320,17776700
2020-09-09,49.599998,50.759998,49.549999,50.189999,48.625477,15252300
2020-09-10,50.349998,50.680000,49.950001,50.000000,48.441399,15439500
2020-09-11,50.400002,51.200001,50.099998,51.060001,49.468357,18272300
2020-09-14,50.970001,51.230000,50.570000,50.709999,49.526958,10911700
2020-09-15,51.000000,51.380001,50.840000,51.049999,49.859024,12838400
2020-09-16,50.950001,51.450001,50.740002,50.790001,49.605087,15353900
2020-09-17,50.220001,50.630001,49.939999,50.549999,49.370689,13287100
2020-09-18,50.750000,51.160000,50.209999,50.450001,49.273022,23816600
2020-09-21,49.750000,50.020000,48.610001,49.090000,47.944752,17514800
2020-09-22,49.110001,50.040001,49.070000,49.660000,48.501453,13034600
2020-09-23,49.730000,49.919998,48.169998,48.209999,47.085278,17121200
2020-09-24,48.209999,49.099998,47.560001,48.700001,47.563850,16788100
2020-09-25,48.200001,48.759998,47.980000,48.720001,47.583385,12603400
